Messmodul	OFT
Versuchsart	Standardversuch	mit Standard-Messplattform
Start des Versuchs	27.05.2026 08:53:39
Ende des Versuchs	27.05.2026 08:56:13
Versuchsdauer	153	Sekunden	00:02:33
Bemerkung	
Sachbearbeiter	vel
Versuchsbezeichnung	Ice friction University of Riga 2026
Umgebungsbedingungen	
Solltemperatur	0,0	°C
Temperierwartezeit	0	Sekunden	00:00:00
Abtastrate	1000	Hz
Mittelungen	1	Werte
Oberprobe Bezeichnung	P1
Oberprobe Beschichtung	
Oberprobe Lieferant	
Oberprobe Geometrie	
Oberprobe Bemerkung	
Unterprobe Bezeichnung	Eis (-10 Grad)
Unterprobe Beschichtung	
Unterprobe Lieferant	
Unterprobe Geometrie	
Unterprobe Bemerkung	
Schmierstoff verwendet	Nein
Schmierstoff Bezeichnung	
Schmierstoff Menge	
Schmierstoff Lieferant	
Schmierstoff Bemerkung	
Hub Exzenter	24,0	mm
Startdrehzahl	120	U/min
Startbelastung	10	N
Probenwinkel	0,00	°
Probenradius	90,00	mm

Versuch mit Stufen	Ja
Anzahl Stufen	14

	Startzeit [s]	Drehzahl [U/min]	Belastung [N]	Temperatur [°C]
Stufe 1	0	120	10,0	0,0
Stufe 2	15	120	30,0	0,0
Stufe 3	60	30	30,0	0,0
Stufe 4	80	60	30,0	0,0
Stufe 5	90	120	30,0	0,0
Stufe 6	95	180	30,0	0,0
Stufe 7	99	240	30,0	0,0
Stufe 8	102	360	30,0	0,0
Stufe 9	105	480	30,0	0,0
Stufe 10	108	360	30,0	0,0
Stufe 11	111	240	30,0	0,0
Stufe 12	114	180	30,0	0,0
Stufe 13	118	120	30,0	0,0
Stufe 14	123	60	30,0	0,0
Stufe 15	133	30	30,0	0,0

Anzahl Datensätze	153029

Nummer	Zeit	Reibungskraft	Belastung	Reibungsmoment	Reibungszahl	Verschleiss	Temperatur	Position	Drehzahl	Externer Eingang 1	Externer Eingang 2	Externer Eingang 3	RK OFT Links	RK OFT Rechts	RK SOP Links	RK SOP Rechts	Belastung Links	Belastung Rechts
	s	N	N	Nmm		mm°C	mm	U/min	°C	mm	bar	N	N	N	N	N	N
0	0,000	0,18	3,74	-1	0,04843	0,000	-8,5	1,67	120,0	-7,129	-15,046	-0,0093	-2,25	2,45	-2,28	-2,68	1,55	2,19
1	0,001	0,15	3,78	0	0,03955	0,000	-8,5	1,67	120,0	-7,132	-15,046	-0,0088	-2,25	2,44	-2,29	-2,66	1,54	2,25
2	0,002	0,15	3,74	0	0,03957	0,000	-8,6	1,67	120,0	-7,132	-15,046	-0,0088	-2,24	2,44	-2,29	-2,68	1,54	2,21
3	0,003	0,11	3,70	0	0,02860	-0,001	-8,5	1,67	120,0	-7,138	-15,046	-0,0088	-2,26	2,44	-2,28	-2,65	1,52	2,19
4	0,004	0,07	3,74	0	0,01780	0,000	-8,5	1,67	120,0	-7,123	-15,048	-0,0083	-2,25	2,39	-2,28	-2,68	1,54	2,21
5	0,005	0,03	3,78	0	0,00804	0,000	-8,5	1,67	120,0	-7,117	-15,048	-0,0083	-2,28	2,39	-2,26	-2,69	1,55	2,23
6	0,006	0,07	3,78	0	0,01797	0,000	-8,5	1,68	120,0	-7,111	-15,044	-0,0078	-2,28	2,44	-2,28	-2,69	1,55	2,23
7	0,007	0,08	3,80	0	0,02010	0,001	-8,5	1,67	120,0	-7,117	-15,042	-0,0073	-2,25	2,42	-2,25	-2,71	1,57	2,23
8	0,008	0,03	3,76	0	0,00737	0,001	-8,5	1,67	120,0	-7,114	-15,044	-0,0078	-2,31	2,44	-2,28	-2,74	1,57	2,19
9	0,009	0,07	3,80	0	0,01741	0,000	-8,5	1,67	120,0	-7,123	-15,044	-0,0078	-2,28	2,45	-2,31	-2,74	1,57	2,23
10	0,010	0,09	3,78	0	0,02349	0,001	-8,5	1,67	120,0	-7,123	-15,044	-0,0083	-2,26	2,47	-2,26	-2,76	1,55	2,23
11	0,011	0,10	3,78	0	0,02553	0,000	-8,5	1,67	120,0	-7,126	-15,042	-0,0073	-2,26	2,48	-2,28	-2,71	1,59	2,19
12	0,012	0,08	3,76	0	0,02015	0,000	-8,5	1,67	120,0	-7,123	-15,044	-0,0083	-2,29	2,50	-2,28	-2,71	1,55	2,21
13	0,013	0,06	3,78	0	0,01465	0,001	-8,5	1,67	120,0	-7,126	-15,042	-0,0073	-2,28	2,47	-2,25	-2,68	1,57	2,21
14	0,014	0,05	3,78	0	0,01331	0,001	-8,5	1,67	120,0	-7,132	-15,044	-0,0078	-2,28	2,47	-2,25	-2,69	1,54	2,25
15	0,015	0,02	3,74	0	0,00463	0,001	-8,5	1,67	120,0	-7,156	-15,046	-0,0083	-2,28	2,44	-2,23	-2,71	1,54	2,21
16	0,016	0,06	3,76	0	0,01465	0,001	-8,6	1,67	120,0	-7,132	-15,046	-0,0083	-2,31	2,39	-2,23	-2,71	1,57	2,19
17	0,017	0,04	3,72	0	0,01073	0,000	-8,5	1,66	120,0	-7,132	-15,046	-0,0088	-2,29	2,39	-2,25	-2,73	1,55	2,17
18	0,018	0,00	3,70	0	0,00123	0,000	-8,6	1,66	120,0	-7,138	-15,046	-0,0088	-2,29	2,44	-2,25	-2,74	1,55	2,15
19	0,019	0,03	3,70	0	0,00907	0,000	-8,6	1,66	120,0	-7,132	-15,044	-0,0088	-2,25	2,42	-2,28	-2,74	1,54	2,17
