Messmodul	OFT
Versuchsart	Standardversuch	mit Standard-Messplattform
Start des Versuchs	27.05.2026 13:12:58
Ende des Versuchs	27.05.2026 13:15:33
Versuchsdauer	153	Sekunden	00:02:33
Bemerkung	
Sachbearbeiter	vel
Versuchsbezeichnung	Ice friction University of Riga 2026
Umgebungsbedingungen	
Solltemperatur	0,0	°C
Temperierwartezeit	0	Sekunden	00:00:00
Abtastrate	1000	Hz
Mittelungen	1	Werte
Oberprobe Bezeichnung	9.2
Oberprobe Beschichtung	
Oberprobe Lieferant	
Oberprobe Geometrie	
Oberprobe Bemerkung	
Unterprobe Bezeichnung	Eis (-10 Grad)
Unterprobe Beschichtung	
Unterprobe Lieferant	
Unterprobe Geometrie	
Unterprobe Bemerkung	
Schmierstoff verwendet	Nein
Schmierstoff Bezeichnung	
Schmierstoff Menge	
Schmierstoff Lieferant	
Schmierstoff Bemerkung	
Hub Exzenter	24,0	mm
Startdrehzahl	120	U/min
Startbelastung	10	N
Probenwinkel	0,00	°
Probenradius	90,00	mm

Versuch mit Stufen	Ja
Anzahl Stufen	14

	Startzeit [s]	Drehzahl [U/min]	Belastung [N]	Temperatur [°C]
Stufe 1	0	120	10,0	0,0
Stufe 2	15	120	30,0	0,0
Stufe 3	60	30	30,0	0,0
Stufe 4	80	60	30,0	0,0
Stufe 5	90	120	30,0	0,0
Stufe 6	95	180	30,0	0,0
Stufe 7	99	240	30,0	0,0
Stufe 8	102	360	30,0	0,0
Stufe 9	105	480	30,0	0,0
Stufe 10	108	360	30,0	0,0
Stufe 11	111	240	30,0	0,0
Stufe 12	114	180	30,0	0,0
Stufe 13	118	120	30,0	0,0
Stufe 14	123	60	30,0	0,0
Stufe 15	133	30	30,0	0,0

Anzahl Datensätze	153004

Nummer	Zeit	Reibungskraft	Belastung	Reibungsmoment	Reibungszahl	Verschleiss	Temperatur	Position	Drehzahl	Externer Eingang 1	Externer Eingang 2	Externer Eingang 3	RK OFT Links	RK OFT Rechts	RK SOP Links	RK SOP Rechts	Belastung Links	Belastung Rechts
	s	N	N	Nmm		mm°C	mm	U/min	°C	mm	bar	N	N	N	N	N	N
0	0,000	0,12	3,07	0	0,03899	-0,001	-8,0	1,67	120,0	-6,802	-15,048	-0,0088	-2,22	2,35	-1,87	-2,63	1,11	1,96
1	0,001	0,12	3,05	-1	0,03974	0,001	-8,0	1,67	120,0	-6,799	-15,048	-0,0088	-2,20	2,35	-1,87	-2,63	1,13	1,92
2	0,002	0,08	3,07	0	0,02664	0,000	-8,0	1,67	120,0	-6,805	-15,048	-0,0093	-2,23	2,35	-1,87	-2,63	1,13	1,94
3	0,003	0,09	3,11	0	0,02800	0,000	-8,0	1,67	120,0	-6,790	-15,048	-0,0093	-2,22	2,35	-1,83	-2,58	1,13	1,98
4	0,004	0,09	3,11	0	0,02970	0,001	-8,0	1,68	120,0	-6,781	-15,048	-0,0088	-2,22	2,37	-1,86	-2,60	1,15	1,96
5	0,005	0,10	3,17	0	0,03073	0,001	-8,0	1,68	120,0	-6,781	-15,044	-0,0078	-2,19	2,35	-1,86	-2,60	1,17	1,99
6	0,006	0,12	3,15	0	0,03691	0,001	-8,0	1,68	120,0	-6,790	-15,044	-0,0083	-2,18	2,37	-1,87	-2,60	1,17	1,98
7	0,007	0,16	3,17	0	0,05118	0,000	-8,0	1,67	120,0	-6,778	-15,044	-0,0078	-2,15	2,40	-1,87	-2,58	1,17	1,99
8	0,008	0,21	3,15	0	0,06550	0,001	-8,0	1,67	120,0	-6,787	-15,044	-0,0078	-2,15	2,45	-1,89	-2,58	1,17	1,98
9	0,009	0,21	3,13	0	0,06602	0,001	-8,0	1,67	120,0	-6,787	-15,044	-0,0083	-2,13	2,45	-1,86	-2,61	1,17	1,96
10	0,010	0,26	3,11	0	0,08453	0,001	-8,0	1,67	120,0	-6,796	-15,048	-0,0083	-2,09	2,48	-1,84	-2,65	1,17	1,94
11	0,011	0,17	3,17	0	0,05517	0,001	-8,0	1,67	120,0	-6,787	-15,048	-0,0078	-2,13	2,45	-1,81	-2,63	1,19	1,98
