time	Friction coeff	Load [N]	Resistance average [Ohm]	Resistance max [Ohm]	Resistance min [Ohm]	Stroke [µm]	Temp. Block [°C]	Temp. surface [°C]	Wear [µm] 
0	0,000	0	10,105	10,107	10,102	0	0,0	30,3	0,0
1	0,019	9	10,105	10,107	10,102	10	30,9	30,3	0,0
2	0,019	9	10,105	10,107	10,102	10	30,9	30,3	0,0
3	0,484	12	10,105	10,107	10,102	10	30,8	30,3	112,6
4	0,241	15	10,105	10,107	10,102	343	30,8	30,3	131,0
5	0,218	13	10,105	10,107	10,102	676	30,8	30,3	149,4
6	0,234	11	10,105	10,107	10,102	1009	30,8	30,3	29,7
7	0,246	11	10,105	10,107	10,102	2356	30,8	30,3	-90,0
8	0,252	10	10,105	10,107	10,102	3706	30,8	30,3	-110,6
9	0,244	10	10,105	10,107	10,102	4371	30,8	30,2	-131,2
10	0,241	10	10,105	10,107	10,102	5034	30,8	30,2	-151,7
11	0,238	10	10,105	10,107	10,103	5696	30,8	30,2	-151,7
12	0,244	10	10,105	10,107	10,103	5693	30,8	30,2	-151,7
13	0,239	10	10,105	10,107	10,103	5687	30,8	30,2	-157,6
14	0,239	10	10,105	10,107	10,102	5680	30,8	30,2	-163,6
15	0,236	10	10,105	10,107	10,102	5677	30,8	30,2	-169,6
16	0,238	10	10,105	10,107	10,102	5673	30,8	30,2	-180,9
17	0,239	10	10,105	10,107	10,102	5670	30,8	30,2	-192,2
18	0,229	10	10,105	10,107	10,102	5663	30,8	30,2	-180,3
19	0,217	11	10,105	10,107	10,102	5657	30,8	30,2	-168,2
20	0,241	11	10,105	10,107	10,102	5650	30,8	30,2	-156,1
21	0,224	10	10,105	10,107	10,102	5645	30,8	30,2	-161,5
22	0,221	11	10,105	10,107	10,102	5640	30,8	30,2	-167,0
23	0,218	11	10,105	10,107	10,102	5640	30,8	30,2	-157,0
24	0,222	11	10,105	10,107	10,102	5640	30,8	30,2	-146,9
25	0,224	11	10,105	10,107	10,102	5635	30,8	30,2	-168,8
26	0,224	11	10,105	10,107	10,102	5630	30,8	30,2	-190,8
27	0,223	11	10,105	10,107	10,102	5627	30,8	30,2	-190,9
28	0,224	11	10,105	10,107	10,102	5623	30,7	30,2	-190,9
29	0,219	11	10,105	10,107	10,102	5620	30,7	30,2	-190,9
30	0,224	11	10,105	10,107	10,102	5613	30,7	30,2	-182,0
31	0,224	11	10,105	10,107	10,102	5607	30,7	30,2	-172,9
32	0,224	11	10,105	10,107	10,102	5600	30,7	30,2	-163,9
33	0,231	11	10,105	10,107	10,102	5600	30,7	30,2	-163,9
34	0,221	11	10,105	10,107	10,102	5600	30,7	30,2	-163,9
35	0,224	11	10,105	10,107	10,102	5597	30,7	30,2	-159,1
36	0,224	11	10,105	10,107	10,102	5593	30,7	30,2	-154,2
37	0,224	11	10,105	10,107	10,102	5590	30,7	30,2	-149,4
38	0,225	11	10,105	10,107	10,102	5585	30,7	30,2	-156,5
39	0,226	11	10,105	10,107	10,102	5580	30,7	30,2	-163,7
40	0,224	11	10,105	10,107	10,102	5573	30,7	30,2	-157,2
