Messmodul	OFT
Versuchsart	Standardversuch	mit Standard-Messplattform
Start des Versuchs	28.01.2025 16:32:42
Ende des Versuchs	28.01.2025 16:33:02
Versuchsdauer	20	Sekunden	00:00:20
Bemerkung	
Sachbearbeiter	vel
Versuchsbezeichnung	PI High-Load Modul
Umgebungsbedingungen	
Solltemperatur	0,0	°C
Temperierwartezeit	0	Sekunden	00:00:00
Abtastrate	1000	Hz
Mittelungen	1	Werte
Oberprobe Bezeichnung	Al2O3_K-1
Oberprobe Beschichtung	
Oberprobe Lieferant	
Oberprobe Geometrie	Kugel D = 3 mm
Oberprobe Bemerkung	
Unterprobe Bezeichnung	KS_35-mm_1
Unterprobe Beschichtung	
Unterprobe Lieferant	
Unterprobe Geometrie	
Unterprobe Bemerkung	Keramikstreifen 35 mm
Schmierstoff verwendet	Ja
Schmierstoff Bezeichnung	Fett PhysikInstrumente
Schmierstoff Menge	
Schmierstoff Lieferant	
Schmierstoff Bemerkung	
Hub Exzenter	1,0	mm
Startdrehzahl	300	U/min
Startbelastung	10	N
Probenwinkel	0,00	°
Probenradius	90,00	mm

Versuch mit Stufen	Nein

Anzahl Datensätze	20033

Nummer	Zeit	Reibungskraft	Belastung	Reibungsmoment	Reibungszahl	Verschleiss	Temperatur	Position	Drehzahl	Externer Eingang 1	Externer Eingang 2	Externer Eingang 3	RK OFT Links	RK OFT Rechts	RK SOP Links	RK SOP Rechts	Belastung Links	Belastung Rechts
	s	N	N	Nmm		mm°C	mm	U/min	°C	mm	bar	N	N	N	N	N	N
0	0,000	1,21	10,35	-1	0,11720	0,000	33,5	0,92	300,0	22,369	-0,002	-0,0014	-2,24	0,89	0,24	-0,98	4,97	5,39
1	0,001	1,12	10,37	0	0,10787	0,000	33,5	0,89	300,0	22,363	-0,002	-0,0014	-2,25	0,88	0,24	-1,01	4,93	5,44
2	0,002	1,01	10,33	0	0,09746	0,000	33,5	0,86	300,0	22,379	-0,002	-0,0014	-2,22	0,85	0,23	-1,00	4,89	5,44
3	0,003	0,91	10,37	0	0,08738	0,000	33,5	0,83	300,0	22,375	-0,002	-0,0013	-2,24	0,86	0,24	-1,01	4,89	5,48
4	0,004	0,79	10,39	0	0,07589	0,000	33,5	0,81	300,0	22,375	-0,002	-0,0013	-2,25	0,91	0,27	-1,01	4,91	5,48
5	0,005	0,68	10,39	0	0,06564	0,000	33,5	0,78	300,0	22,369	-0,002	-0,0014	-2,24	0,92	0,23	-1,01	4,87	5,52
6	0,006	0,64	10,33	0	0,06200	0,000	33,5	0,75	300,0	22,360	-0,002	-0,0014	-2,28	0,93	0,24	-1,00	4,83	5,50
7	0,007	0,55	10,35	0	0,05310	0,000	33,5	0,72	300,0	22,366	-0,002	-0,0015	-2,25	0,93	0,26	-1,00	4,83	5,52
8	0,008	0,48	10,43	0	0,04612	-0,001	33,5	0,70	300,0	22,363	-0,002	-0,0014	-2,25	0,95	0,24	-0,95	4,87	5,56
