Messmodul	OFT
Versuchsart	Standardversuch	mit Standard-Messplattform
Start des Versuchs	28.01.2025 16:22:21
Ende des Versuchs	28.01.2025 16:22:41
Versuchsdauer	20	Sekunden	00:00:20
Bemerkung	
Sachbearbeiter	vel
Versuchsbezeichnung	PI High-Load Modul
Umgebungsbedingungen	
Solltemperatur	0,0	°C
Temperierwartezeit	0	Sekunden	00:00:00
Abtastrate	1000	Hz
Mittelungen	1	Werte
Oberprobe Bezeichnung	Al2O3_K-1
Oberprobe Beschichtung	
Oberprobe Lieferant	
Oberprobe Geometrie	Kugel D = 3 mm
Oberprobe Bemerkung	
Unterprobe Bezeichnung	KS_35-mm_1
Unterprobe Beschichtung	
Unterprobe Lieferant	
Unterprobe Geometrie	
Unterprobe Bemerkung	Keramikstreifen 35 mm
Schmierstoff verwendet	Ja
Schmierstoff Bezeichnung	Fett PhysikInstrumente
Schmierstoff Menge	
Schmierstoff Lieferant	
Schmierstoff Bemerkung	
Hub Exzenter	1,0	mm
Startdrehzahl	300	U/min
Startbelastung	10	N
Probenwinkel	0,00	°
Probenradius	90,00	mm

Versuch mit Stufen	Nein

Anzahl Datensätze	20005

Nummer	Zeit	Reibungskraft	Belastung	Reibungsmoment	Reibungszahl	Verschleiss	Temperatur	Position	Drehzahl	Externer Eingang 1	Externer Eingang 2	Externer Eingang 3	RK OFT Links	RK OFT Rechts	RK SOP Links	RK SOP Rechts	Belastung Links	Belastung Rechts
	s	N	N	Nmm		mm°C	mm	U/min	°C	mm	bar	N	N	N	N	N	N
0	0,000	1,00	11,68	0	0,08528	0,000	33,4	0,72	300,0	22,287	-0,001	-0,0012	-0,61	1,71	0,23	-0,87	5,48	6,20
1	0,001	0,90	11,66	0	0,07689	0,002	33,4	0,75	300,0	22,302	-0,002	-0,0013	-0,62	1,73	0,21	-0,89	5,48	6,18
2	0,002	0,78	11,59	0	0,06734	0,001	33,4	0,78	300,0	22,305	-0,002	-0,0013	-0,64	1,71	0,18	-0,89	5,46	6,12
3	0,003	0,72	11,62	0	0,06154	0,001	33,4	0,80	300,0	22,299	-0,002	-0,0015	-0,64	1,73	0,20	-0,90	5,50	6,12
4	0,004	0,66	11,61	0	0,05662	0,000	33,4	0,83	300,0	22,290	-0,002	-0,0014	-0,64	1,74	0,18	-0,92	5,50	6,10
5	0,005	0,54	11,59	0	0,04632	-0,001	33,4	0,86	300,0	22,293	-0,002	-0,0014	-0,67	1,71	0,18	-0,93	5,52	6,06
6	0,006	0,55	11,59	0	0,04761	0,000	33,4	0,89	300,0	22,299	-0,002	-0,0014	-0,64	1,76	0,17	-0,92	5,54	6,04
7	0,007	0,50	11,55	-1	0,04316	0,001	33,4	0,92	300,0	22,284	-0,002	-0,0013	-0,62	1,74	0,18	-0,95	5,54	6,01
8	0,008	0,42	11,60	0	0,03634	-0,001	33,4	0,95	300,0	22,293	-0,002	-0,0013	-0,65	1,74	0,18	-0,92	5,60	6,01
9	0,009	0,37	11,53	0	0,03173	0,000	33,4	0,98	300,0	22,299	-0,002	-0,0013	-0,65	1,73	0,21	-0,93	5,58	5,95
10	0,010	0,34	11,57	0	0,02959	-0,001	33,4	1,01	300,0	22,293	-0,002	-0,0014	-0,62	1,71	0,20	-0,92	5,62	5,95
11	0,011	0,28	11,51	0	0,02444	0,000	33,4	1,03	300,0	22,308	-0,002	-0,0014	-0,67	1,73	0,20	-0,93	5,60	5,91
12	0,012	0,29	11,53	0	0,02551	-0,001	33,4	1,06	300,0	22,318	-0,002	-0,0014	-0,65	1,76	0,21	-0,92	5,62	5,91
13	0,013	0,33	11,56	0	0,02892	0,000	33,4	1,08	300,0	22,305	-0,001	-0,0012	-0,61	1,79	0,18	-0,87	5,66	5,91
14	0,014	0,26	11,55	0	0,02264	0,001	33,4	1,11	300,0	22,311	-0,002	-0,0012	-0,64	1,77	0,17	-0,92	5,68	5,87
15	0,015	0,21	11,51	0	0,01799	0,001	33,4	1,13	300,0	22,330	-0,002	-0,0012	-0,65	1,76	0,18	-0,86	5,66	5,85
16	0,016	0,19	11,55	0	0,01605	0,001	33,4	1,16	300,0	22,318	-0,002	-0,0013	-0,68	1,79	0,21	-0,87	5,69	5,85
17	0,017	0,18	11,51	0	0,01564	0,000	33,4	1,19	300,0	22,311	-0,001	-0,0013	-0,67	1,79	0,18	-0,87	5,68	5,83
18	0,018	0,19	11,51	0	0,01640	0,000	33,4	1,21	300,0	22,318	-0,001	-0,0014	-0,64	1,79	0,23	-0,84	5,68	5,83
19	0,019	0,23	11,49	0	0,01959	0,002	33,4	1,24	300,0	22,314	-0,002	-0,0014	-0,59	1,80	0,23	-0,86	5,69	5,79
20	0,020	0,15	11,45	0	0,01291	0,002	33,4	1,26	300,0	22,308	-0,001	-0,0011	-0,61	1,76	0,24	-0,86	5,69	5,75
21	0,021	0,12	11,45	0	0,01029	0,001	33,4	1,29	300,0	22,311	-0,002	-0,0011	-0,61	1,74	0,23	-0,89	5,69	5,75
22	0,022	0,08	11,41	0	0,00677	0,000	33,4	1,31	300,0	22,318	-0,002	-0,0013	-0,64	1,74	0,18	-0,89	5,71	5,70
23	0,023	0,01	11,35	0	0,00108	0,000	33,4	1,34	300,0	22,311	-0,002	-0,0014	-0,67	1,71	0,18	-0,93	5,69	5,66
24	0,024	0,02	11,29	0	0,00182	0,000	33,4	1,36	300,0	22,308	-0,002	-0,0014	-0,69	1,71	0,21	-0,93	5,68	5,62
25	0,025	0,04	11,24	0	0,00328	0,000	33,4	1,38	300,0	22,314	-0,002	-0,0014	-0,71	1,71	0,18	-0,89	5,66	5,58
26	0,026	0,04	11,29	0	0,00332	0,000	33,4	1,40	300,0	22,314	-0,002	-0,0013	-0,71	1,71	0,18	-0,90	5,68	5,62
27	0,027	0,04	11,22	0	0,00332	0,000	33,4	1,42	300,0	22,308	-0,002	-0,0014	-0,72	1,73	0,18	-0,93	5,66	5,56
28	0,028	0,09	11,22	0	0,00817	0,001	33,4	1,44	300,0	22,302	-0,002	-0,0012	-0,77	1,71	0,18	-0,90	5,68	5,54
29	0,029	0,04	11,18	0	0,00396	0,000	33,4	1,46	300,0	22,308	-0,002	-0,0014	-0,75	1,74	0,21	-0,92	5,66	5,52
30	0,030	0,00	11,16	0	0,00020	-0,001	33,4	1,47	300,0	22,305	-0,002	-0,0014	-0,71	1,74	0,21	-0,90	5,66	5,50
31	0,031	0,01	11,12	0	0,00090	0,000	33,4	1,49	300,0	22,308	-0,002	-0,0014	-0,71	1,73	0,24	-0,89	5,66	5,46
32	0,032	0,03	11,12	0	0,00295	0,001	33,4	1,50	300,0	22,305	-0,001	-0,0013	-0,68	1,74	0,26	-0,87	5,66	5,46
33	0,033	0,07	11,16	0	0,00653	0,001	33,4	1,52	300,0	22,318	-0,002	-0,0013	-0,67	1,77	0,27	-0,84	5,69	5,46
34	0,034	0,04	11,12	0	0,00362	0,000	33,4	1,54	300,0	22,302	-0,002	-0,0013	-0,68	1,76	0,24	-0,87	5,66	5,46
35	0,035	0,04	11,10	0	0,00332	0,001	33,4	1,55	300,0	22,327	-0,002	-0,0013	-0,67	1,74	0,23	-0,84	5,68	5,42
36	0,036	0,01	11,06	0	0,00059	0,000	33,4	1,56	300,0	22,314	-0,001	-0,0014	-0,72	1,77	0,24	-0,82	5,62	5,44
37	0,037	0,03	11,02	0	0,00298	0,001	33,4	1,57	300,0	22,311	-0,001	-0,0013	-0,71	1,79	0,24	-0,87	5,62	5,41
38	0,038	0,00	11,02	0	0,00024	0,001	33,4	1,58	300,0	22,318	-0,002	-0,0012	-0,72	1,77	0,23	-0,89	5,64	5,39
39	0,039	0,02	10,98	0	0,00141	0,001	33,4	1,60	300,0	22,318	-0,002	-0,0011	-0,71	1,77	0,23	-0,89	5,62	5,37
40	0,040	0,01	10,98	0	0,00118	0,001	33,4	1,61	300,0	22,305	-0,001	-0,0012	-0,74	1,77	0,21	-0,90	5,64	5,35
41	0,041	0,00	10,96	0	0,00014	0,001	33,4	1,62	300,0	22,293	-0,001	-0,0013	-0,74	1,79	0,21	-0,92	5,62	5,35
42	0,042	0,01	10,93	0	0,00109	0,000	33,4	1,63	300,0	22,308	-0,002	-0,0014	-0,72	1,76	0,18	-0,92	5,60	5,33
43	0,043	0,05	10,89	-1	0,00475	0,001	33,4	1,63	300,0	22,308	-0,002	-0,0013	-0,71	1,70	0,17	-0,93	5,60	5,29
44	0,044	0,06	10,85	0	0,00560	0,000	33,4	1,64	300,0	22,296	-0,002	-0,0014	-0,75	1,73	0,17	-0,92	5,58	5,27
45	0,045	0,04	10,77	0	0,00387	0,000	33,4	1,65	300,0	22,296	-0,002	-0,0014	-0,72	1,71	0,17	-0,92	5,56	5,21
46	0,046	0,02	10,77	0	0,00226	0,001	33,4	1,65	300,0	22,293	-0,002	-0,0013	-0,71	1,71	0,18	-0,90	5,56	5,21
47	0,047	0,05	10,73	0	0,00456	0,001	33,4	1,65	300,0	22,293	-0,002	-0,0013	-0,71	1,68	0,17	-0,90	5,54	5,19
48	0,048	0,03	10,75	0	0,00287	0,000	33,4	1,66	300,0	22,293	-0,002	-0,0014	-0,71	1,70	0,20	-0,92	5,52	5,23
49	0,049	0,04	10,71	0	0,00382	0,001	33,4	1,66	300,0	22,293	-0,002	-0,0012	-0,71	1,68	0,21	-0,90	5,52	5,19
50	0,050	0,02	10,64	0	0,00168	0,000	33,4	1,67	300,0	22,293	-0,002	-0,0014	-0,69	1,73	0,20	-0,90	5,50	5,13
51	0,051	0,00	10,68	-1	0,00032	0,000	33,4	1,67	300,0	22,302	-0,002	-0,0014	-0,69	1,71	0,20	-0,90	5,52	5,15
52	0,052	0,04	10,68	0	0,00417	0,001	33,4	1,67	300,0	22,296	-0,002	-0,0014	-0,68	1,74	0,18	-0,87	5,50	5,17
53	0,053	0,07	10,69	0	0,00644	0,001	33,4	1,67	300,0	22,302	-0,002	-0,0011	-0,67	1,76	0,23	-0,87	5,52	5,17
54	0,054	0,08	10,66	0	0,00728	0,002	33,4	1,68	300,0	22,314	-0,002	-0,0012	-0,67	1,77	0,21	-0,89	5,50	5,15
55	0,055	0,07	10,66	0	0,00671	0,001	33,4	1,68	300,0	22,299	-0,001	-0,0012	-0,68	1,79	0,23	-0,86	5,50	5,15
56	0,056	0,01	10,60	0	0,00091	0,000	33,4	1,68	300,0	22,305	-0,002	-0,0012	-0,71	1,76	0,23	-0,86	5,50	5,09
57	0,057	0,02	10,56	0	0,00203	0,000	33,4	1,67	300,0	22,290	-0,002	-0,0013	-0,72	1,79	0,24	-0,87	5,46	5,09
58	0,058	0,03	10,60	0	0,00307	0,002	33,4	1,67	300,0	22,308	-0,001	-0,0012	-0,72	1,80	0,24	-0,87	5,48	5,11
59	0,059	0,01	10,56	0	0,00109	0,001	33,4	1,67	300,0	22,305	-0,001	-0,0012	-0,75	1,79	0,24	-0,89	5,45	5,11
60	0,060	0,01	10,58	0	0,00104	0,001	33,4	1,66	300,0	22,299	-0,001	-0,0012	-0,74	1,77	0,24	-0,90	5,46	5,11
61	0,061	0,02	10,52	0	0,00224	0,002	33,4	1,65	300,0	22,296	-0,002	-0,0011	-0,72	1,74	0,23	-0,89	5,45	5,08
62	0,062	0,02	10,48	0	0,00202	0,001	33,4	1,64	300,0	22,287	-0,002	-0,0013	-0,74	1,76	0,23	-0,89	5,45	5,04
