Messmodul	OFT
Versuchsart	Standardversuch	mit Standard-Messplattform
Start des Versuchs	23.04.2026 15:22:20
Ende des Versuchs	23.04.2026 15:23:05
Versuchsdauer	45	Sekunden	00:00:45
Bemerkung	
Sachbearbeiter	vel
Versuchsbezeichnung	PI High-Load Modul 15 N / 1 Hz
Umgebungsbedingungen	
Solltemperatur	0,0	°C
Temperierwartezeit	0	Sekunden	00:00:00
Abtastrate	1000	Hz
Mittelungen	1	Werte
Oberprobe Bezeichnung	Al2O3_K-38
Oberprobe Beschichtung	
Oberprobe Lieferant	
Oberprobe Geometrie	Kugel D = 3 mm
Oberprobe Bemerkung	
Unterprobe Bezeichnung	Strukturierte Probe #17, Pos. B
Unterprobe Beschichtung	
Unterprobe Lieferant	
Unterprobe Geometrie	
Unterprobe Bemerkung	Keramikstreifen 35 mm oben
Schmierstoff verwendet	Ja
Schmierstoff Bezeichnung	Fett
Schmierstoff Menge	
Schmierstoff Lieferant	
Schmierstoff Bemerkung	
Hub Exzenter	1,0	mm
Startdrehzahl	60	U/min
Startbelastung	15	N
Probenwinkel	0,00	°
Probenradius	90,00	mm

Versuch mit Stufen	Nein

Anzahl Datensätze	45017

Nummer	Zeit	Reibungskraft	Belastung	Reibungsmoment	Reibungszahl	Verschleiss	Temperatur	Position	Drehzahl	Externer Eingang 1	Externer Eingang 2	Externer Eingang 3	RK OFT Links	RK OFT Rechts	RK SOP Links	RK SOP Rechts	Belastung Links	Belastung Rechts
	s	N	N	Nmm		mm°C	mm	U/min	°C	mm	bar	N	N	N	N	N	N
0	0,000	1,80	16,32	0	0,11039	0,001	-50,1	1,59	60,0	-0,014	-15,044	-0,0078	0,44	1,56	0,24	-0,62	8,61	7,71
1	0,001	1,61	16,32	0	0,09850	0,001	-50,1	1,59	60,0	-0,015	-15,046	-0,0083	0,45	1,54	0,27	-0,60	8,61	7,71
2	0,002	1,43	16,30	0	0,08789	0,000	-50,0	1,59	60,0	-0,014	-15,042	-0,0073	0,44	1,54	0,26	-0,60	8,59	7,71
3	0,003	1,29	16,36	0	0,07877	0,000	-50,0	1,60	60,0	-0,012	-15,042	-0,0083	0,42	1,55	0,24	-0,60	8,63	7,73
4	0,004	1,14	16,34	0	0,07007	0,002	-50,1	1,60	60,0	-0,015	-15,042	-0,0083	0,44	1,52	0,23	-0,60	8,61	7,73
5	0,005	1,03	16,34	0	0,06299	0,001	-50,1	1,60	60,0	-0,011	-15,046	-0,0078	0,42	1,54	0,24	-0,62	8,63	7,71
6	0,006	0,88	16,30	0	0,05420	0,000	-50,1	1,60	60,0	-0,015	-15,044	-0,0078	0,39	1,52	0,20	-0,62	8,61	7,69
7	0,007	0,75	16,24	0	0,04620	0,000	-50,1	1,61	60,0	-0,020	-15,046	-0,0088	0,38	1,49	0,18	-0,67	8,57	7,67
8	0,008	0,71	16,28	0	0,04383	0,001	-50,1	1,61	60,0	-0,017	-15,048	-0,0078	0,41	1,51	0,18	-0,62	8,59	7,69
9	0,009	0,67	16,24	0	0,04127	0,000	-50,1	1,61	60,0	-0,014	-15,046	-0,0088	0,42	1,52	0,20	-0,63	8,57	7,67
10	0,010	0,60	16,28	0	0,03715	0,001	-50,1	1,61	60,0	-0,015	-15,048	-0,0093	0,45	1,49	0,21	-0,63	8,57	7,71
11	0,011	0,55	16,26	0	0,03358	0,001	-50,1	1,61	60,0	-0,017	-15,046	-0,0088	0,47	1,48	0,23	-0,62	8,57	7,69
12	0,012	0,49	16,26	0	0,03035	0,000	-50,1	1,61	60,0	-0,018	-15,048	-0,0088	0,45	1,49	0,18	-0,63	8,57	7,69
13	0,013	0,43	16,24	-1	0,02655	-0,001	-50,1	1,62	60,0	-0,018	-15,048	-0,0093	0,47	1,46	0,18	-0,63	8,57	7,67
14	0,014	0,37	16,26	0	0,02299	0,000	-50,1	1,62	60,0	-0,017	-15,051	-0,0083	0,45	1,46	0,21	-0,63	8,57	7,69
15	0,015	0,38	16,26	0	0,02331	0,001	-50,1	1,62	60,0	-0,015	-15,046	-0,0083	0,45	1,51	0,23	-0,62	8,57	7,69
16	0,016	0,34	16,34	0	0,02107	0,001	-50,1	1,62	60,0	-0,014	-15,046	-0,0088	0,44	1,52	0,24	-0,60	8,63	7,71
17	0,017	0,30	16,34	0	0,01826	0,001	-50,1	1,62	60,0	-0,014	-15,046	-0,0078	0,41	1,54	0,26	-0,60	8,61	7,73
18	0,018	0,27	16,38	0	0,01649	0,002	-50,1	1,62	60,0	-0,015	-15,046	-0,0078	0,39	1,55	0,24	-0,63	8,63	7,75
19	0,019	0,24	16,36	0	0,01495	0,001	-50,1	1,63	60,0	-0,014	-15,046	-0,0083	0,39	1,55	0,27	-0,62	8,65	7,71
20	0,020	0,22	16,32	0	0,01359	0,001	-50,1	1,63	60,0	-0,017	-15,046	-0,0078	0,36	1,58	0,27	-0,62	8,61	7,71
21	0,021	0,21	16,36	0	0,01311	0,001	-50,1	1,63	60,0	-0,014	-15,044	-0,0088	0,41	1,55	0,27	-0,63	8,61	7,75
22	0,022	0,19	16,38	0	0,01189	0,001	-50,0	1,63	60,0	-0,014	-15,044	-0,0083	0,42	1,54	0,26	-0,62	8,63	7,75
23	0,023	0,20	16,40	0	0,01247	0,001	-50,0	1,63	60,0	-0,015	-15,044	-0,0073	0,45	1,54	0,29	-0,60	8,65	7,75
24	0,024	0,13	16,36	0	0,00787	0,001	-50,1	1,63	60,0	-0,012	-15,044	-0,0073	0,44	1,49	0,26	-0,60	8,61	7,75
25	0,025	0,06	16,34	0	0,00356	0,000	-50,1	1,63	60,0	-0,012	-15,044	-0,0078	0,38	1,49	0,26	-0,60	8,61	7,73
26	0,026	0,03	16,30	0	0,00203	0,000	-50,1	1,64	60,0	-0,015	-15,048	-0,0083	0,38	1,48	0,26	-0,63	8,59	7,71
27	0,027	0,01	16,30	0	0,00062	0,000	-50,1	1,64	60,0	-0,014	-15,048	-0,0083	0,36	1,48	0,24	-0,63	8,61	7,69
28	0,028	0,01	16,32	0	0,00068	0,000	-50,1	1,64	60,0	-0,017	-15,049	-0,0088	0,35	1,48	0,23	-0,67	8,61	7,71
29	0,029	0,03	16,32	0	0,00162	-0,001	-50,1	1,64	60,0	-0,015	-15,048	-0,0088	0,38	1,49	0,27	-0,65	8,61	7,71
30	0,030	0,08	16,34	0	0,00487	0,000	-50,1	1,64	60,0	-0,015	-15,048	-0,0083	0,39	1,54	0,24	-0,63	8,61	7,73
31	0,031	0,10	16,34	0	0,00635	0,000	-50,1	1,64	60,0	-0,015	-15,048	-0,0093	0,41	1,55	0,27	-0,65	8,65	7,69
32	0,032	0,07	16,36	0	0,00428	0,000	-50,1	1,64	60,0	-0,018	-15,046	-0,0088	0,41	1,52	0,26	-0,63	8,65	7,71
33	0,033	0,10	16,34	0	0,00582	0,000	-50,1	1,64	60,0	-0,018	-15,049	-0,0083	0,41	1,55	0,23	-0,62	8,63	7,71
34	0,034	0,05	16,36	0	0,00291	0,000	-50,1	1,64	60,0	-0,017	-15,046	-0,0088	0,39	1,52	0,24	-0,59	8,63	7,73
35	0,035	0,04	16,32	0	0,00271	0,000	-50,1	1,65	60,0	-0,017	-15,049	-0,0083	0,38	1,54	0,26	-0,59	8,63	7,69
36	0,036	0,06	16,34	0	0,00341	0,000	-50,1	1,65	60,0	-0,014	-15,048	-0,0083	0,39	1,54	0,27	-0,54	8,63	7,71
37	0,037	0,08	16,40	0	0,00497	0,001	-50,1	1,65	60,0	-0,015	-15,046	-0,0083	0,41	1,55	0,30	-0,54	8,65	7,75
38	0,038	0,06	16,40	0	0,00388	0,000	-50,1	1,65	60,0	-0,014	-15,044	-0,0083	0,42	1,52	0,30	-0,54	8,67	7,73
39	0,039	0,06	16,40	0	0,00370	0,002	-50,1	1,65	60,0	-0,015	-15,046	-0,0093	0,44	1,51	0,32	-0,57	8,65	7,75
40	0,040	0,04	16,38	0	0,00265	0,001	-50,1	1,65	60,0	-0,014	-15,044	-0,0088	0,45	1,48	0,30	-0,57	8,65	7,73
41	0,041	0,06	16,40	0	0,00340	0,001	-50,1	1,65	60,0	-0,015	-15,044	-0,0083	0,45	1,49	0,32	-0,59	8,65	7,75
42	0,042	0,05	16,38	0	0,00328	0,002	-50,1	1,65	60,0	-0,017	-15,042	-0,0088	0,45	1,49	0,30	-0,54	8,65	7,73
43	0,043	0,05	16,40	0	0,00316	0,001	-50,0	1,65	60,0	-0,015	-15,042	-0,0073	0,44	1,51	0,32	-0,52	8,65	7,75
44	0,044	0,05	16,41	0	0,00303	0,001	-50,1	1,65	60,0	-0,012	-15,044	-0,0083	0,44	1,51	0,29	-0,57	8,67	7,75
45	0,045	0,00	16,40	0	0,00025	0,000	-50,1	1,65	60,0	-0,011	-15,044	-0,0083	0,42	1,48	0,29	-0,57	8,67	7,73
46	0,046	0,03	16,34	0	0,00193	0,000	-50,1	1,65	60,0	-0,015	-15,046	-0,0083	0,44	1,49	0,24	-0,60	8,63	7,71
47	0,047	0,02	16,32	0	0,00096	0,000	-50,1	1,66	60,0	-0,015	-15,048	-0,0088	0,42	1,49	0,23	-0,63	8,63	7,69
48	0,048	0,03	16,34	0	0,00176	0,001	-50,1	1,66	60,0	-0,015	-15,048	-0,0093	0,44	1,49	0,21	-0,63	8,63	7,71
49	0,049	0,06	16,34	0	0,00337	0,001	-50,1	1,66	60,0	-0,015	-15,049	-0,0083	0,47	1,49	0,21	-0,62	8,63	7,71
50	0,050	0,08	16,36	0	0,00490	0,000	-50,1	1,66	60,0	-0,015	-15,049	-0,0088	0,48	1,51	0,20	-0,63	8,65	7,71
51	0,051	0,08	16,38	0	0,00465	0,000	-50,1	1,66	60,0	-0,017	-15,046	-0,0093	0,50	1,49	0,20	-0,63	8,65	7,73
52	0,052	0,04	16,32	0	0,00267	0,000	-50,1	1,66	60,0	-0,017	-15,044	-0,0093	0,48	1,48	0,17	-0,63	8,63	7,69
53	0,053	0,11	16,38	0	0,00676	-0,001	-50,1	1,66	60,0	-0,017	-15,048	-0,0093	0,52	1,51	0,21	-0,62	8,67	7,71
54	0,054	0,11	16,36	0	0,00645	0,000	-50,1	1,66	60,0	-0,015	-15,048	-0,0088	0,52	1,51	0,18	-0,65	8,65	7,71
55	0,055	0,14	16,38	0	0,00868	-0,001	-50,1	1,66	60,0	-0,015	-15,046	-0,0083	0,54	1,54	0,21	-0,65	8,65	7,73
56	0,056	0,16	16,40	0	0,00996	0,000	-50,1	1,66	60,0	-0,014	-15,044	-0,0088	0,57	1,54	0,23	-0,60	8,65	7,75
57	0,057	0,18	16,47	0	0,01115	0,000	-50,1	1,66	60,0	-0,015	-15,044	-0,0083	0,57	1,56	0,24	-0,60	8,70	7,77
58	0,058	0,15	16,43	0	0,00892	0,002	-50,1	1,66	60,0	-0,014	-15,044	-0,0083	0,55	1,55	0,21	-0,60	8,67	7,77
59	0,059	0,13	16,43	0	0,00761	0,000	-50,1	1,66	60,0	-0,014	-15,042	-0,0073	0,54	1,55	0,27	-0,62	8,67	7,77
60	0,060	0,07	16,47	0	0,00455	0,001	-50,1	1,66	60,0	-0,015	-15,048	-0,0083	0,51	1,54	0,27	-0,63	8,70	7,77
61	0,061	0,03	16,43	0	0,00156	-0,001	-50,1	1,66	60,0	-0,015	-15,046	-0,0088	0,47	1,54	0,30	-0,63	8,68	7,75
