time	Friction coeff	Load [N]	Resistance average [Ohm]	Resistance max [Ohm]	Resistance min [Ohm]	Stroke [µm]	Temp. Block [°C]	Temp. surface [°C]	Wear [µm] 
0	0,000	0	1,205	1,222	1,182	0	0,0	23,7	0,0
1	0,016	10	1,205	1,222	1,182	10	22,9	23,7	0,0
2	0,016	10	1,205	1,222	1,182	10	22,9	23,7	0,0
3	0,856	10	1,205	1,222	1,182	10	22,9	23,7	-1227,5
4	0,856	12	1,205	1,222	1,182	1193	22,9	23,7	-1227,5
5	0,493	15	1,767	1,877	1,562	2380	22,9	23,7	-1227,5
6	0,424	13	2,331	2,533	1,944	3568	22,9	23,7	-1227,5
7	0,449	13	2,895	3,190	2,325	4248	22,9	23,7	-1227,4
8	0,391	13	2,895	3,190	2,325	4928	22,9	23,7	-635,5
9	0,426	13	2,895	3,190	2,325	4935	22,9	23,7	-43,6
10	0,351	13	3,151	3,482	2,508	4940	22,9	23,7	-30,5
11	0,409	13	3,408	3,774	2,690	4940	22,9	23,7	-17,8
12	0,341	15	3,329	3,909	2,508	4940	22,9	23,7	-55,2
13	0,362	15	3,247	4,043	2,322	4940	22,9	23,7	-93,0
14	0,361	14	3,165	4,177	2,136	4940	22,9	23,7	-130,8
15	0,384	14	3,146	4,164	2,038	4940	22,9	23,7	-130,8
16	0,354	13	3,127	4,150	1,939	4930	22,9	23,7	-130,8
17	0,391	13	3,127	4,150	1,939	4920	22,9	23,7	-100,5
18	0,334	13	3,127	4,150	1,939	4915	22,9	23,7	-70,1
19	0,351	14	3,127	4,150	1,939	4910	22,9	23,7	-39,7
20	0,350	14	3,121	4,115	1,961	4907	22,9	23,7	-81,6
21	0,358	14	3,114	4,079	1,983	4903	22,9	23,7	-123,7
22	0,349	14	3,108	4,044	2,005	4900	22,9	23,7	-165,7
23	0,361	14	3,160	4,068	2,118	4895	22,9	23,7	-95,9
24	0,353	14	3,213	4,092	2,232	4890	22,9	23,7	-26,2
25	0,373	14	3,213	4,092	2,232	4887	22,9	23,7	-60,7
26	0,386	14	3,213	4,092	2,232	4883	22,9	23,7	-95,5
27	0,346	13	3,213	4,092	2,232	4880	22,9	23,7	-130,3
28	0,386	14	3,195	4,075	2,164	4875	22,9	23,7	-130,3
29	0,356	14	3,177	4,057	2,095	4870	22,9	23,7	-130,3
30	0,372	13	3,140	4,029	2,078	4857	22,9	23,7	-95,2
31	0,378	13	3,102	4,001	2,061	4843	22,9	23,7	-60,1
32	0,356	13	3,065	3,973	2,044	4830	22,9	23,7	-24,9
33	0,374	13	3,065	3,973	2,044	4830	22,9	23,7	-92,3
34	0,392	13	3,065	3,973	2,044	4830	22,9	23,7	-159,8
35	0,359	13	3,083	4,017	2,022	4827	22,9	23,7	-159,9
36	0,359	13	3,102	4,061	2,000	4823	22,9	23,7	-159,9
37	0,355	14	3,120	4,105	1,978	4820	22,9	23,7	-159,9
38	0,396	14	3,138	4,067	1,893	4813	22,9	23,7	-117,7
39	0,358	14	3,156	4,030	1,807	4807	22,9	23,7	-75,3
40	0,359	14	3,174	3,992	1,722	4800	22,9	23,7	-32,9
41	0,363	14	3,139	3,968	1,891	4790	22,9	23,7	-24,4
42	0,378	14	3,103	3,944	2,060	4780	22,9	23,7	-15,8
43	0,368	14	3,103	3,944	2,060	4775	22,9	23,7	-73,5
44	0,364	14	3,103	3,944	2,060	4770	22,9	23,7	-131,2
45	0,394	14	3,096	3,933	1,944	4763	22,9	23,7	-131,5
46	0,371	13	3,090	3,923	1,827	4757	22,9	23,7	-131,5
47	0,404	13	3,083	3,912	1,711	4750	22,9	23,7	-131,5
48	0,411	13	3,121	3,961	1,861	4743	22,9	23,7	-131,8
49	0,378	13	3,160	4,010	2,011	4737	22,9	23,7	-132,1
50	0,409	13	3,198	4,059	2,162	4730	22,9	23,7	-132,4
51	0,387	13	3,189	4,075	2,209	4725	22,9	23,7	-141,6
52	0,388	14	3,180	4,092	2,256	4720	22,9	23,7	-150,9
53	0,395	14	3,161	4,106	2,221	4717	22,9	23,7	-105,8
54	0,403	14	3,142	4,119	2,187	4713	22,9	23,7	-60,5
55	0,399	13	3,123	4,133	2,152	4710	22,9	23,7	-15,3
56	0,434	13	3,040	4,072	1,950	4700	22,9	23,7	-19,1
57	0,405	14	2,958	4,012	1,749	4690	22,9	23,6	-23,0
58	0,413	14	2,875	3,951	1,547	4680	22,9	23,6	-26,8
59	0,416	14	2,940	4,004	1,670	4677	22,9	23,6	-22,6
60	0,423	14	3,004	4,058	1,794	4673	22,9	23,6	-18,3
61	0,428	14	3,069	4,111	1,917	4670	22,9	23,6	-14,1
62	0,463	13	3,129	4,088	2,026	4660	22,9	23,6	-56,2
63	0,431	13	3,189	4,064	2,135	4650	22,9	23,7	-98,3
64	0,464	13	3,249	4,041	2,244	4640	22,9	23,7	-140,4
65	0,439	13	3,246	4,086	2,113	4630	22,9	23,7	-140,4
66	0,449	13	3,242	4,132	1,981	4620	22,9	23,6	-140,4
67	0,446	14	3,242	4,132	1,981	4613	22,9	23,6	-97,2
68	0,446	14	3,242	4,132	1,981	4607	22,9	23,6	-53,9
69	0,458	14	3,242	4,132	1,981	4600	22,9	23,6	-10,6
70	0,435	14	3,208	4,109	1,856	4597	22,9	23,6	-14,8
71	0,446	14	3,173	4,086	1,731	4593	22,9	23,6	-19,0
72	0,452	14	3,139	4,063	1,605	4590	22,9	23,6	-23,3
73	0,463	14	3,200	3,961	1,938	4587	22,9	23,6	-60,5
74	0,464	14	3,260	3,860	2,272	4583	22,9	23,6	-97,8
75	0,463	14	3,321	3,758	2,605	4580	22,9	23,6	-135,0
76	0,464	14	3,321	3,758	2,605	4565	22,9	23,6	-135,0
77	0,464	14	3,321	3,758	2,605	4550	22,9	23,6	-135,0
78	0,476	14	3,361	4,083	2,030	4545	22,9	23,6	-80,5
