time	Friction coeff	Load [N]	Resistance average [Ohm]	Resistance max [Ohm]	Resistance min [Ohm]	Stroke [µm]	Temp. Block [°C]	Temp. surface [°C]	Wear [µm] 
0	0,000	0	10,110	10,113	10,108	0	0,0	23,9	0,0
1	0,015	9	10,110	10,113	10,108	0	23,0	23,9	0,0
2	0,015	9	10,110	10,113	10,108	5	23,0	23,9	0,0
3	0,610	11	10,110	10,113	10,108	10	23,0	23,9	-1256,0
4	0,407	14	10,110	10,113	10,108	1179	23,0	23,9	-1256,0
5	0,305	14	10,110	10,113	10,108	2348	23,0	23,9	-1256,0
6	0,322	13	10,110	10,113	10,108	3518	23,0	23,9	-647,1
7	0,316	13	10,110	10,112	10,108	4169	23,0	23,9	-37,7
8	0,299	13	10,110	10,112	10,108	4819	23,0	23,9	-61,0
9	0,289	12	10,110	10,113	10,108	5469	23,0	23,9	-86,0
10	0,285	12	10,110	10,113	10,108	5517	23,0	23,9	-111,0
11	0,299	12	10,110	10,113	10,108	5563	23,0	23,9	-111,2
12	0,270	12	10,110	10,113	10,108	5610	23,0	23,9	-111,4
13	0,286	12	10,110	10,113	10,108	5610	23,0	23,9	-111,6
14	0,284	12	10,110	10,113	10,108	5610	23,0	23,9	-111,6
15	0,291	11	10,110	10,113	10,108	5610	23,0	23,9	-111,6
16	0,266	12	10,110	10,113	10,108	5603	23,0	23,9	-133,3
17	0,265	12	10,110	10,112	10,108	5597	23,0	23,9	-155,1
18	0,285	11	10,110	10,112	10,108	5590	23,0	23,9	-176,8
19	0,264	11	10,110	10,112	10,108	5585	23,0	23,9	-176,8
20	0,259	11	10,110	10,112	10,108	5580	23,0	23,8	-176,8
21	0,281	12	10,110	10,113	10,108	5580	23,0	23,8	-139,2
22	0,259	12	10,110	10,113	10,108	5580	23,0	23,8	-101,5
23	0,258	12	10,110	10,113	10,108	5577	23,0	23,8	-105,4
24	0,283	12	10,110	10,113	10,108	5573	23,0	23,8	-109,4
25	0,259	11	10,110	10,113	10,108	5570	23,0	23,8	-113,3
26	0,278	11	10,110	10,113	10,108	5565	23,0	23,8	-108,4
27	0,259	11	10,110	10,113	10,108	5560	23,0	23,8	-103,4
